research_id,product_id,researched_query,source_url,source_title,source_type,accessed_at,facts_used,facts_not_used,trust_notes,reviewer_status
RES-001,prod_ref_001,Met Open Access object 41482,https://www.metmuseum.org/art/collection/search/41482,Folding Fan with Fishing Net Decoration,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-002,prod_ref_002,Met Open Access object 51770,https://www.metmuseum.org/art/collection/search/51770,Fan,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-003,prod_ref_003,Met Open Access object 51536,https://www.metmuseum.org/art/collection/search/51536,Fan,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-004,prod_ref_004,Met Open Access object 35990,https://www.metmuseum.org/art/collection/search/35990,Azure Cliff with Red Maples,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-005,prod_ref_005,Met Open Access object 36000,https://www.metmuseum.org/art/collection/search/36000,River landscape,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-006,prod_ref_006,Met Open Access object 40995,https://www.metmuseum.org/art/collection/search/40995,Seal,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-007,prod_ref_007,Met Open Access object 41006,https://www.metmuseum.org/art/collection/search/41006,Seal,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-008,prod_ref_008,Met Open Access object 41055,https://www.metmuseum.org/art/collection/search/41055,Seal,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-009,prod_ref_009,Met Open Access object 41002,https://www.metmuseum.org/art/collection/search/41002,Seal,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-010,prod_ref_010,Met Open Access object 61857,https://www.metmuseum.org/art/collection/search/61857,Seal,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-011,prod_ref_011,Met Open Access object 76453,https://www.metmuseum.org/art/collection/search/76453,Brush holder decorated with immortals in landscape,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-012,prod_ref_012,Met Open Access object 42158,https://www.metmuseum.org/art/collection/search/42158,Brush holder with scene of “Ode to the Pavilion of the Inebriated Old Man”,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-013,prod_ref_013,Met Open Access object 39625,https://www.metmuseum.org/art/collection/search/39625,Brush holder with scene of “Ode to the Pavilion of the Inebriated Old Man”,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
