product_id,locale,craft_summary,cultural_story,meaning_summary,source_note,review_status,reviewed_at,is_demo
prod_demo_001,zh-CN,本方案以漆艺层次与纹样为设计重点，参考图馆藏记录的材质为Carved red and black lacquer。实际制作材质、颜色与细节需在询单阶段确认。,大都会艺术博物馆将此件藏品定名为雕漆卷草纹盒，资料记录为十三世纪晚期至十四世纪的中国红黑雕漆器。该馆藏原作用于呈现传统雕漆的层次与纹样，并作为对应礼赠方案的图像与工艺参考。飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·雕漆卷草纹盒”方案。,推荐表达：文化传承、兴盛祝愿。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/39646；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_001,en,"This concept focuses on layered lacquer form and ornament. The reference image is catalogued with the material description “Carved red and black lacquer”. Final production materials, colour, and details require confirmation.",The Met records this Chinese carved red-and-black lacquer box as dating to the late thirteenth or fourteenth century. The museum object serves as an image and craft reference for the corresponding gifting concept. HeritageLink AI translates the reference into the “Heritage-Inspired Box with pommel scroll” gifting concept.,"Suggested meanings: cultural continuity, prosperity. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/39646; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_002,zh-CN,本方案以漆艺层次与纹样为设计重点，参考图馆藏记录的材质为Carved lacquer。实际制作材质、颜色与细节需在询单阶段确认。,这件十四世纪中国香盒由多层漆雕刻而成，馆藏资料将其作为剔犀类雕漆实例。本目录仅展示其工艺语言与小型器物形制。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·剔犀香盒”方案。,推荐表达：美好祝福、长久安康、和谐。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/57780；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_002,en,"This concept focuses on layered lacquer form and ornament. The reference image is catalogued with the material description “Carved lacquer”. Final production materials, colour, and details require confirmation.",This fourteenth-century Chinese incense box is recorded as carved lacquer and exemplifies the layered tixi carving tradition. The catalogue uses it only as a craft and form reference. HeritageLink AI translates the reference into the “Heritage-Inspired Incense Box” gifting concept.,"Suggested meanings: good wishes, longevity, harmony. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/57780; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_003,zh-CN,本方案以漆艺层次与纹样为设计重点，参考图馆藏记录的材质为Carved red and green lacquer。实际制作材质、颜色与细节需在询单阶段确认。,馆藏记录显示，这件十四世纪中国盒以红绿雕漆制作并饰山茶花纹。本目录用它说明传统雕漆中花卉纹样与圆盒形制的结合。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·雕漆山茶花纹盒”方案。,推荐表达：坚韧、美好祝福。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/60910；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_003,en,"This concept focuses on layered lacquer form and ornament. The reference image is catalogued with the material description “Carved red and green lacquer”. Final production materials, colour, and details require confirmation.",The museum records this fourteenth-century Chinese box as carved red and green lacquer with a camellia motif. It is included to show the meeting of floral ornament and circular box design. HeritageLink AI translates the reference into the “Heritage-Inspired Box with camellia” gifting concept.,"Suggested meanings: resilience, good wishes. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/60910; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_004,zh-CN,本方案以漆艺层次与纹样为设计重点，参考图馆藏记录的材质为Black lacquer painted with lacquer and oil-based pigments; basketry panels。实际制作材质、颜色与细节需在询单阶段确认。,这件十六世纪晚期至十七世纪早期的中国盒结合黑漆彩绘与编织面板，并饰栀子、梅花和雀鸟。本目录用它展示髹漆与编织结合的复合工艺。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·漆绘花鸟提篮盒”方案。,推荐表达：和谐、美好祝福、良缘相合。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/40266；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_004,en,"This concept focuses on layered lacquer form and ornament. The reference image is catalogued with the material description “Black lacquer painted with lacquer and oil-based pigments; basketry panels”. Final production materials, colour, and details require confirmation.",This late-sixteenth- to early-seventeenth-century Chinese box combines painted black lacquer with basketry panels and floral-and-bird imagery. It is a reference for mixed lacquer and weaving techniques. HeritageLink AI translates the reference into the “Heritage-Inspired Box with gardenia plum blossoms and finches” gifting concept.,"Suggested meanings: harmony, good wishes, union. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/40266; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_005,zh-CN,本方案以漆艺层次与纹样为设计重点，参考图馆藏记录的材质为Carved red lacquer。实际制作材质、颜色与细节需在询单阶段确认。,这件十四世纪中国大盘采用红色雕漆，并以庭院人物场景为主题。本目录用它呈现雕漆在较大器面上的叙事构图能力。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·雕漆庭院人物盘”方案。,推荐表达：美好祝福、和谐、兴盛祝愿。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/40215；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_005,en,"This concept focuses on layered lacquer form and ornament. The reference image is catalogued with the material description “Carved red lacquer”. Final production materials, colour, and details require confirmation.",This fourteenth-century Chinese tray is carved in red lacquer with a garden scene of women and boys. It is presented as a reference for narrative composition across a large lacquer surface. HeritageLink AI translates the reference into the “Heritage-Inspired Tray with women and boys on a garden terrace” gifting concept.,"Suggested meanings: good wishes, harmony, prosperity. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/40215; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
prod_demo_006,zh-CN,本方案以青釉色与器形为设计重点，参考图馆藏记录的材质为Porcelain with incised decoration under celadon glaze。实际制作材质、颜色与细节需在询单阶段确认。,这件十五世纪中国龙泉窑大盘以瓷胎、青釉和刻划莲纹构成。它用于展示龙泉青瓷的釉色、刻花与大型盘式器形。 飞颐礼遇据此整理为可用于礼赠沟通的“馆藏灵感·龙泉青瓷莲纹大盘”方案。,推荐表达：文化传承、感谢。适合的对象、场景与定制方式以当前商品标签和客户需求为准。,图片与历史参考来源：https://www.metmuseum.org/art/collection/search/50716；图片许可：CC0 1.0 / Public Domain。礼赠方案由飞颐礼遇整理。,draft,,true
prod_demo_006,en,"This concept focuses on celadon glaze and vessel form. The reference image is catalogued with the material description “Porcelain with incised decoration under celadon glaze”. Final production materials, colour, and details require confirmation.","This fifteenth-century Longquan plate combines porcelain, celadon glaze, and incised lotus decoration. It is included as a reference for glaze colour, carving, and large dish forms. HeritageLink AI translates the reference into the “Heritage-Inspired Plate with Lotus” gifting concept.","Suggested meanings: cultural continuity, gratitude. Recipient, occasion, and customization fit are determined from the configured product tags and the customer's confirmed request.",Image and historical reference: https://www.metmuseum.org/art/collection/search/50716; image license: CC0 1.0 / Public Domain. The gifting concept was prepared by Feiyi Liyu (HeritageLink AI).,draft,,true
