heritage_id,heritage_name_zh,heritage_name_en,category_code,region,official_level,verification_note,status,data_version,is_demo
heritage_demo_lacquer,漆器髹饰技艺（平台演示分类）,Chinese Lacquer Craft (Demo Category),lacquer_craft,中国（平台方案分类）,unverified,仅作为平台商品分类，不声明具体项目的官方认证级别、传承人身份或政府背书。,active,2026-07-17.2,true
heritage_demo_longquan,龙泉青瓷烧制技艺（平台演示分类）,Longquan Celadon Craft (Demo Category),celadon_craft,中国（平台方案分类）,unverified,仅作为平台商品分类，不声明具体项目的官方认证级别、传承人身份或政府背书。,active,2026-07-17.2,true
heritage_demo_textile,传统丝织与刺绣技艺（平台演示分类）,Chinese Silk and Embroidery Craft (Demo Category),textile_craft,中国（平台方案分类）,unverified,仅作为平台商品分类，不声明具体项目的官方认证级别、传承人身份或政府背书。,active,2026-07-17.2,true
heritage_demo_jade,传统玉雕技艺（平台演示分类）,Chinese Jade Carving (Demo Category),jade_craft,中国（平台方案分类）,unverified,仅作为平台商品分类，不声明具体项目的官方认证级别、传承人身份或政府背书。,active,2026-07-17.2,true
heritage_ref_fan,传统折扇与纸艺馆藏参考,Chinese folding fan references,fan,中国（全国性文化语境）,unverified,馆藏与公共文化资料分类；不声明具体商品、商家或代表性项目资质。,active,2026-07-30.1,true
heritage_ref_seal,中国印章艺术馆藏参考,Chinese seal art references,seal,浙江（印章艺术文化语境）,unverified,馆藏与公共文化资料分类；不声明具体商品、商家或代表性项目资质。,active,2026-07-30.1,true
heritage_ref_bamboo,竹木文房器物馆藏参考,Bamboo scholar-object references,bamboo,中国（馆藏记录未细分）,unverified,馆藏与公共文化资料分类；不声明具体商品、商家或代表性项目资质。,active,2026-07-30.1,true
heritage_ref_tea,传统茶生活器物馆藏参考,Traditional tea-lifestyle references,tea,中国（多地茶文化语境）,unverified,馆藏与公共文化资料分类；不声明具体商品、商家或代表性项目资质。,active,2026-07-30.1,true
heritage_ref_woodblock,雕版印刷与版画馆藏参考,Chinese woodblock-print references,woodblock,中国（雕版印刷文化语境）,unverified,馆藏与公共文化资料分类；不声明具体商品、商家或代表性项目资质。,active,2026-07-30.1,true
heritage_ref_calligraphy,中国书法馆藏参考,Chinese calligraphy references,calligraphy,中国（书法文化语境）,unverified,馆藏与公共文化资料分类；不声明具体商品、商家或代表性项目资质。,active,2026-07-30.1,true
heritage_wuhu_iron,芜湖铁画锻制技艺,Wuhu Iron Painting Forging Techniques,iron_painting,中国安徽芜湖,national,国家级非物质文化遗产代表性项目，2006 年第一批名录，项目编号 Ⅷ-39。该级别针对技艺项目本身，不代表任何具体作品、作者或商家已获认证。,active,2026-08-18.1,true
