product_id,category,region,price_tier,recipients,scenes,styles,symbolism,customization_types,portability,international_relevance,data_quality_level
prod_demo_001,lacquer,中国（馆藏文化参考）,business,"[""business_partner"",""institution""]","[""business_gift"",""commemoration""]","[""traditional"",""grand"",""elegant""]","[""heritage"",""prosperity""]","[""inscription"", ""logo"", ""packaging""]",demo_assumption,demo_assumption,C
prod_demo_002,lacquer,中国（馆藏文化参考）,mid,"[""elder"",""business_partner""]","[""birthday"",""business_gift""]","[""traditional"",""elegant""]","[""blessing"",""longevity"",""harmony""]","[""inscription"", ""packaging""]",demo_assumption,demo_assumption,C
prod_demo_003,lacquer,中国（馆藏文化参考）,mid,"[""friend"",""business_partner""]","[""business_gift"",""housewarming""]","[""modern"",""minimal""]","[""resilience"",""blessing""]","[""inscription"", ""logo"", ""packaging""]",demo_assumption,demo_assumption,C
prod_demo_004,lacquer,中国（馆藏文化参考）,mid,"[""newlywed"",""family""]","[""wedding"",""anniversary""]","[""traditional"",""festive"",""elegant""]","[""harmony"",""blessing"",""union""]","[""pattern"", ""packaging""]",demo_assumption,demo_assumption,C
prod_demo_005,lacquer,中国（馆藏文化参考）,mid,"[""family"",""friend""]","[""housewarming"",""festival""]","[""traditional"",""warm"",""elegant""]","[""blessing"",""harmony"",""prosperity""]","[""inscription"", ""packaging""]",demo_assumption,demo_assumption,C
prod_demo_006,ceramics,中国（馆藏文化参考）,entry,"[""employee"",""teacher"",""business_partner""]","[""business_gift"",""graduation"",""appreciation""]","[""modern"",""minimal""]","[""heritage"",""gratitude""]","[""inscription"", ""logo"", ""packaging"", ""color""]",demo_assumption,demo_assumption,C
prod_demo_007,ceramics,中国（馆藏文化参考）,business,"[""collector"",""institution""]","[""collection"",""exhibition""]","[""traditional"",""grand""]","[""heritage"",""remembrance""]",[],demo_assumption,demo_assumption,C
prod_demo_008,ceramics,中国（馆藏文化参考）,business,"[""institution"",""business_partner""]","[""commemoration"",""business_gift""]","[""modern"",""elegant""]","[""remembrance"",""heritage"",""gratitude""]","[""inscription"", ""logo"", ""packaging""]",demo_assumption,demo_assumption,C
prod_demo_009,ceramics,中国（馆藏文化参考）,business,"[""institution"",""collector""]","[""commemoration"",""collection""]","[""traditional"",""grand"",""elegant""]","[""heritage"",""remembrance""]","[""inscription"", ""packaging""]",demo_assumption,demo_assumption,C
prod_demo_010,ceramics,中国（馆藏文化参考）,mid,"[""family"",""friend"",""newlywed""]","[""housewarming"",""wedding"",""festival""]","[""traditional"",""elegant"",""warm""]","[""harmony"",""blessing"",""union""]","[""inscription"", ""pattern"", ""packaging""]",demo_assumption,demo_assumption,C
prod_demo_011,textile,中国（馆藏文化参考）,business,"[""collector"",""institution""]","[""exhibition"",""collection""]","[""traditional"",""grand""]","[""heritage"",""remembrance""]",[],demo_assumption,demo_assumption,C
prod_demo_012,textile,中国（馆藏文化参考）,mid,"[""employee"",""friend"",""business_partner""]","[""appreciation"",""business_gift""]","[""modern"",""elegant""]","[""gratitude"",""heritage""]","[""inscription"", ""logo"", ""pattern"", ""packaging""]",demo_assumption,demo_assumption,C
prod_demo_013,textile,中国（馆藏文化参考）,business,"[""elder"",""institution"",""collector""]","[""birthday"",""collection"",""commemoration""]","[""traditional"",""grand""]","[""longevity"",""blessing"",""heritage""]",[],demo_assumption,demo_assumption,C
prod_demo_014,textile,中国（馆藏文化参考）,mid,"[""elder"",""business_partner""]","[""birthday"",""business_gift""]","[""festive"",""elegant""]","[""longevity"",""blessing""]","[""inscription"", ""logo"", ""pattern"", ""packaging""]",demo_assumption,demo_assumption,C
prod_demo_015,textile,中国（馆藏文化参考）,mid,"[""newlywed"",""friend""]","[""wedding"",""anniversary""]","[""elegant"",""warm""]","[""union"",""harmony""]","[""inscription"", ""logo"", ""pattern"", ""packaging""]",demo_assumption,demo_assumption,C
prod_demo_016,jade,中国（馆藏文化参考）,business,"[""business_partner"",""friend"",""collector""]","[""business_gift"",""commemoration"",""collection""]","[""traditional"",""elegant""]","[""prosperity"",""heritage""]","[""inscription"", ""logo"", ""packaging""]",demo_assumption,demo_assumption,C
prod_demo_017,jade,中国（馆藏文化参考）,high,"[""family"",""institution"",""collector""]","[""festival"",""collection""]","[""traditional"",""grand""]","[""heritage"",""prosperity""]",[],demo_assumption,demo_assumption,C
prod_demo_018,jade,中国（馆藏文化参考）,mid,"[""elder"",""friend""]","[""birthday"",""festival""]","[""elegant"",""minimal""]","[""harmony"",""blessing""]","[""inscription"", ""packaging""]",demo_assumption,demo_assumption,C
prod_demo_019,jade,中国（馆藏文化参考）,business,"[""collector"",""institution""]","[""collection"",""exhibition""]","[""traditional"",""grand""]","[""heritage"",""remembrance""]",[],demo_assumption,demo_assumption,C
prod_demo_020,jade,中国（馆藏文化参考）,business,"[""family"",""business_partner"",""collector""]","[""housewarming"",""business_gift"",""collection""]","[""warm"",""traditional""]","[""prosperity"",""blessing""]","[""inscription"", ""logo"", ""packaging""]",demo_assumption,demo_assumption,C
prod_ref_001,fan,中国（全国性文化语境）,entry,"[""friend"", ""teacher"", ""overseas_partner""]","[""academic_visit"", ""conference_gift"", ""festival""]","[""elegant"", ""literati"", ""portable""]","[""friendship"", ""wisdom"", ""landscape""]",[],unknown,unknown,C
prod_ref_002,fan,中国（全国性文化语境）,mid,"[""friend"", ""teacher"", ""overseas_partner""]","[""academic_visit"", ""conference_gift"", ""festival""]","[""elegant"", ""literati"", ""portable""]","[""friendship"", ""wisdom"", ""landscape""]",[],unknown,unknown,C
prod_ref_003,fan,中国（全国性文化语境）,business,"[""friend"", ""teacher"", ""overseas_partner""]","[""academic_visit"", ""conference_gift"", ""festival""]","[""elegant"", ""literati"", ""portable""]","[""friendship"", ""wisdom"", ""landscape""]",[],unknown,unknown,C
prod_ref_004,fan,中国（全国性文化语境）,high,"[""friend"", ""teacher"", ""overseas_partner""]","[""academic_visit"", ""conference_gift"", ""festival""]","[""elegant"", ""literati"", ""portable""]","[""friendship"", ""wisdom"", ""landscape""]",[],unknown,unknown,C
prod_ref_005,fan,中国（全国性文化语境）,collector,"[""friend"", ""teacher"", ""overseas_partner""]","[""academic_visit"", ""conference_gift"", ""festival""]","[""elegant"", ""literati"", ""portable""]","[""friendship"", ""wisdom"", ""landscape""]",[],unknown,unknown,C
prod_ref_006,seal,浙江（印章艺术文化语境）,entry,"[""collector"", ""teacher"", ""institution""]","[""collection"", ""honor_commemoration"", ""academic_visit""]","[""traditional"", ""literati"", ""collectible""]","[""heritage"", ""wisdom"", ""remembrance""]",[],unknown,unknown,C
prod_ref_007,seal,浙江（印章艺术文化语境）,mid,"[""collector"", ""teacher"", ""institution""]","[""collection"", ""honor_commemoration"", ""academic_visit""]","[""traditional"", ""literati"", ""collectible""]","[""heritage"", ""wisdom"", ""remembrance""]",[],unknown,unknown,C
prod_ref_008,seal,浙江（印章艺术文化语境）,business,"[""collector"", ""teacher"", ""institution""]","[""collection"", ""honor_commemoration"", ""academic_visit""]","[""traditional"", ""literati"", ""collectible""]","[""heritage"", ""wisdom"", ""remembrance""]",[],unknown,unknown,C
prod_ref_009,seal,浙江（印章艺术文化语境）,high,"[""collector"", ""teacher"", ""institution""]","[""collection"", ""honor_commemoration"", ""academic_visit""]","[""traditional"", ""literati"", ""collectible""]","[""heritage"", ""wisdom"", ""remembrance""]",[],unknown,unknown,C
prod_ref_010,seal,浙江（印章艺术文化语境）,collector,"[""collector"", ""teacher"", ""institution""]","[""collection"", ""honor_commemoration"", ""academic_visit""]","[""traditional"", ""literati"", ""collectible""]","[""heritage"", ""wisdom"", ""remembrance""]",[],unknown,unknown,C
prod_ref_011,bamboo,中国（馆藏记录未细分）,entry,"[""teacher"", ""business_partner"", ""institution""]","[""business_gift"", ""academic_visit"", ""home_display""]","[""natural"", ""literati"", ""traditional""]","[""resilience"", ""wisdom"", ""career""]",[],unknown,unknown,C
prod_ref_012,bamboo,中国（馆藏记录未细分）,mid,"[""teacher"", ""business_partner"", ""institution""]","[""business_gift"", ""academic_visit"", ""home_display""]","[""natural"", ""literati"", ""traditional""]","[""resilience"", ""wisdom"", ""career""]",[],unknown,unknown,C
prod_ref_013,bamboo,中国（馆藏记录未细分）,business,"[""teacher"", ""business_partner"", ""institution""]","[""business_gift"", ""academic_visit"", ""home_display""]","[""natural"", ""literati"", ""traditional""]","[""resilience"", ""wisdom"", ""career""]",[],unknown,unknown,C
prod_ref_014,bamboo,中国（馆藏记录未细分）,high,"[""teacher"", ""business_partner"", ""institution""]","[""business_gift"", ""academic_visit"", ""home_display""]","[""natural"", ""literati"", ""traditional""]","[""resilience"", ""wisdom"", ""career""]",[],unknown,unknown,C
prod_ref_015,bamboo,中国（馆藏记录未细分）,collector,"[""teacher"", ""business_partner"", ""institution""]","[""business_gift"", ""academic_visit"", ""home_display""]","[""natural"", ""literati"", ""traditional""]","[""resilience"", ""wisdom"", ""career""]",[],unknown,unknown,C
prod_ref_016,tea,福建（茶文化语境，非器物产地声明）,entry,"[""elder"", ""overseas_partner"", ""business_partner""]","[""business_gift"", ""foreign_exchange"", ""housewarming""]","[""elegant"", ""natural"", ""modern_chinese""]","[""harmony"", ""friendship"", ""blessing""]",[],unknown,unknown,C
prod_ref_017,tea,浙江（茶文化语境，非器物产地声明）,mid,"[""elder"", ""overseas_partner"", ""business_partner""]","[""business_gift"", ""foreign_exchange"", ""housewarming""]","[""elegant"", ""natural"", ""modern_chinese""]","[""harmony"", ""friendship"", ""blessing""]",[],unknown,unknown,C
prod_ref_018,tea,广西（茶文化语境，非器物产地声明）,business,"[""elder"", ""overseas_partner"", ""business_partner""]","[""business_gift"", ""foreign_exchange"", ""housewarming""]","[""elegant"", ""natural"", ""modern_chinese""]","[""harmony"", ""friendship"", ""blessing""]",[],unknown,unknown,C
