catalog_product_id,demo_product_id,source_object_id,product_name_zh,product_name_en,craft_category_zh,craft_category_en,period_text,region_text,material_text,dimensions_text,introduction_zh,introduction_en,image_path,source_url,image_source_url,source_name,source_object_number,image_license,commercial_status,verification_status
CAT-LAC-001,prod_demo_001,39646,雕漆卷草纹盒,Box with pommel scroll,雕漆,Lacquer carving,late 13th–14th century,China,Carved red and black lacquer,H. 3.8 cm; Diam. 12.7 cm,大都会艺术博物馆将此件藏品定名为雕漆卷草纹盒，资料记录为十三世纪晚期至十四世纪的中国红黑雕漆器。该馆藏原作用于呈现传统雕漆的层次与纹样，并作为对应礼赠方案的图像与工艺参考。,The Met records this Chinese carved red-and-black lacquer box as dating to the late thirteenth or fourteenth century. The museum object serves as an image and craft reference for the corresponding gifting concept.,assets/catalog/products/met-39646.jpg,https://www.metmuseum.org/art/collection/search/39646,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39646/176587/main-image,The Metropolitan Museum of Art,29.100.713,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-LAC-002,prod_demo_002,57780,剔犀香盒,Incense Box,雕漆,Lacquer carving,14th century,China,Carved lacquer,H. 3.2 cm; Diam. 8.6 cm,这件十四世纪中国香盒由多层漆雕刻而成，馆藏资料将其作为剔犀类雕漆实例。本目录仅展示其工艺语言与小型器物形制。,This fourteenth-century Chinese incense box is recorded as carved lacquer and exemplifies the layered tixi carving tradition. The catalogue uses it only as a craft and form reference.,assets/catalog/products/met-57780.jpg,https://www.metmuseum.org/art/collection/search/57780,https://collectionapi.metmuseum.org/api/collection/v1/iiif/57780/167161/main-image,The Metropolitan Museum of Art,91.1.645,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-LAC-003,prod_demo_003,60910,雕漆山茶花纹盒,Box with camellia,雕漆,Lacquer carving,14th century,China,Carved red and green lacquer,H. 3.5 cm; Diam. 10.2 cm,馆藏记录显示，这件十四世纪中国盒以红绿雕漆制作并饰山茶花纹。本目录用它说明传统雕漆中花卉纹样与圆盒形制的结合。,The museum records this fourteenth-century Chinese box as carved red and green lacquer with a camellia motif. It is included to show the meeting of floral ornament and circular box design.,assets/catalog/products/met-60910.jpg,https://www.metmuseum.org/art/collection/search/60910,https://collectionapi.metmuseum.org/api/collection/v1/iiif/60910/189615/main-image,The Metropolitan Museum of Art,"91.1.666a, b",CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-LAC-004,prod_demo_004,40266,漆绘花鸟提篮盒,Box with gardenia plum blossoms and finches,雕漆与髹漆,Lacquer and basketry,late 16th–early 17th century,China,Black lacquer painted with lacquer and oil-based pigments; basketry panels,H. 11.4 cm; W. 46.7 cm; D. 30.5 cm,这件十六世纪晚期至十七世纪早期的中国盒结合黑漆彩绘与编织面板，并饰栀子、梅花和雀鸟。本目录用它展示髹漆与编织结合的复合工艺。,This late-sixteenth- to early-seventeenth-century Chinese box combines painted black lacquer with basketry panels and floral-and-bird imagery. It is a reference for mixed lacquer and weaving techniques.,assets/catalog/products/met-40266.jpg,https://www.metmuseum.org/art/collection/search/40266,https://collectionapi.metmuseum.org/api/collection/v1/iiif/40266/191043/main-image,The Metropolitan Museum of Art,"2015.500.1.61a, b",CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-LAC-005,prod_demo_005,40215,雕漆庭院人物盘,Tray with women and boys on a garden terrace,雕漆,Lacquer carving,14th century,China,Carved red lacquer,H. 6 cm; Diam. 55.6 cm,这件十四世纪中国大盘采用红色雕漆，并以庭院人物场景为主题。本目录用它呈现雕漆在较大器面上的叙事构图能力。,This fourteenth-century Chinese tray is carved in red lacquer with a garden scene of women and boys. It is presented as a reference for narrative composition across a large lacquer surface.,assets/catalog/products/met-40215.jpg,https://www.metmuseum.org/art/collection/search/40215,https://collectionapi.metmuseum.org/api/collection/v1/iiif/40215/167397/main-image,The Metropolitan Museum of Art,2015.500.1.31,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-CEL-001,prod_demo_006,50716,龙泉青瓷莲纹大盘,Plate with Lotus,龙泉青瓷,Longquan celadon,15th century,China,Porcelain with incised decoration under celadon glaze,Diam. 41.6 cm,这件十五世纪中国龙泉窑大盘以瓷胎、青釉和刻划莲纹构成。它用于展示龙泉青瓷的釉色、刻花与大型盘式器形。,"This fifteenth-century Longquan plate combines porcelain, celadon glaze, and incised lotus decoration. It is included as a reference for glaze colour, carving, and large dish forms.",assets/catalog/products/met-50716.jpg,https://www.metmuseum.org/art/collection/search/50716,https://collectionapi.metmuseum.org/api/collection/v1/iiif/50716/1797392/main-image,The Metropolitan Museum of Art,1980.449,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-CEL-002,prod_demo_007,52074,龙泉青瓷莲纹笔洗,Brush washer with lotus,龙泉青瓷,Longquan celadon,13th–14th century,China,Stoneware with incised decoration under a celadon glaze,H. 3.8 cm; Diam. 13.3 cm,这件十三至十四世纪的龙泉青瓷笔洗采用炻器胎、青釉与刻划莲纹。目录以其展示文房器物与龙泉釉色的结合。,This thirteenth- to fourteenth-century Longquan brush washer is stoneware with incised lotus decoration beneath a celadon glaze. It represents the connection between scholarly objects and celadon craft.,assets/catalog/products/met-52074.jpg,https://www.metmuseum.org/art/collection/search/52074,https://collectionapi.metmuseum.org/api/collection/v1/iiif/52074/1357439/main-image,The Metropolitan Museum of Art,16.156.2,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-CEL-003,prod_demo_008,48373,龙泉青瓷茶碗,Tea bowl,龙泉青瓷,Longquan celadon,13th century,China,Stoneware with celadon glaze and gold lacquer repairs,H. 4.8 cm; Diam. 12.7 cm,这件十三世纪龙泉青瓷茶碗以炻器胎施青釉，并留有金漆修补记录。目录保留这一信息，用于呈现器物的釉色与流传痕迹。,This thirteenth-century Longquan tea bowl is stoneware with celadon glaze and recorded gold-lacquer repairs. The catalogue retains that detail as part of the object's material history.,assets/catalog/products/met-48373.jpg,https://www.metmuseum.org/art/collection/search/48373,https://collectionapi.metmuseum.org/api/collection/v1/iiif/48373/1426545/main-image,The Metropolitan Museum of Art,16.122.5,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-CEL-004,prod_demo_009,73676,龙泉青瓷琮式瓶,Quadrangular vase in the shape of a Neolithic cong,龙泉青瓷,Longquan celadon,13th century,China,Stoneware with celadon glaze,H. 26.4 cm; W. 10.2 cm; D. 10.2 cm,这件十三世纪龙泉青瓷瓶以新石器时代玉琮形制为灵感，采用炻器胎施青釉。它用于展示传统器形在陶瓷中的转化。,This thirteenth-century Longquan celadon vase adapts the shape of a Neolithic cong in glazed stoneware. It is included as a reference for translating an earlier ritual form into ceramics.,assets/catalog/products/met-73676.jpg,https://www.metmuseum.org/art/collection/search/73676,https://collectionapi.metmuseum.org/api/collection/v1/iiif/73676/147604/main-image,The Metropolitan Museum of Art,2007.193,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-CEL-005,prod_demo_010,42514,龙泉青瓷牡丹纹盘,Dish with Peonies,龙泉青瓷,Longquan celadon,late 14th–early 15th century,China,Stoneware with incised decoration under celadon glaze,H. 8.9 cm; Diam. 50.8 cm; foot Diam. 27.9 cm,这件十四世纪晚期至十五世纪早期的龙泉青瓷大盘以刻划牡丹纹装饰。目录用它呈现大尺寸青瓷与花卉纹样的结合。,This large Longquan celadon dish from the late fourteenth or early fifteenth century carries incised peony decoration. It is a reference for floral design on large celadon forms.,assets/catalog/products/met-42514.jpg,https://www.metmuseum.org/art/collection/search/42514,https://collectionapi.metmuseum.org/api/collection/v1/iiif/42514/2483053/main-image,The Metropolitan Museum of Art,1984.358,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
