customization_option_id,product_id,customization_type,description_zh,description_en,price_impact,extra_lead_days,enabled,is_demo,demo_disclaimer,commercial_data_status
custopt_demo_001_inscription,prod_demo_001,inscription,可评估题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text can be assessed; content, typeface, placement, and rights require confirmation.",required_quote,4,true,true,MVP演示数据,demo_assumption
custopt_demo_001_logo,prod_demo_001,logo,可评估在包装、铭牌或附件中加入Logo，图形权利和制作方式需确认。,"A logo may be assessed for packaging, plaques, or accessories; artwork rights and production method require confirmation.",required_quote,5,true,true,MVP演示数据,demo_assumption
custopt_demo_001_packaging,prod_demo_001,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_002_inscription,prod_demo_002,inscription,可评估题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text can be assessed; content, typeface, placement, and rights require confirmation.",required_quote,4,true,true,MVP演示数据,demo_assumption
custopt_demo_002_packaging,prod_demo_002,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_003_inscription,prod_demo_003,inscription,可评估题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text can be assessed; content, typeface, placement, and rights require confirmation.",required_quote,4,true,true,MVP演示数据,demo_assumption
custopt_demo_003_logo,prod_demo_003,logo,可评估在包装、铭牌或附件中加入Logo，图形权利和制作方式需确认。,"A logo may be assessed for packaging, plaques, or accessories; artwork rights and production method require confirmation.",required_quote,5,true,true,MVP演示数据,demo_assumption
custopt_demo_003_packaging,prod_demo_003,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_004_pattern,prod_demo_004,pattern,可评估纹样配色与局部构图调整，不复制馆藏原作细节。,Motif colour and partial composition adjustments can be assessed without reproducing the museum object as an original artwork.,required_quote,6,true,true,MVP演示数据,demo_assumption
custopt_demo_004_packaging,prod_demo_004,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_005_inscription,prod_demo_005,inscription,可评估题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text can be assessed; content, typeface, placement, and rights require confirmation.",required_quote,4,true,true,MVP演示数据,demo_assumption
custopt_demo_005_packaging,prod_demo_005,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_006_inscription,prod_demo_006,inscription,可评估题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text can be assessed; content, typeface, placement, and rights require confirmation.",required_quote,4,true,true,MVP演示数据,demo_assumption
custopt_demo_006_logo,prod_demo_006,logo,可评估在包装、铭牌或附件中加入Logo，图形权利和制作方式需确认。,"A logo may be assessed for packaging, plaques, or accessories; artwork rights and production method require confirmation.",required_quote,5,true,true,MVP演示数据,demo_assumption
custopt_demo_006_packaging,prod_demo_006,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_008_inscription,prod_demo_008,inscription,可评估题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text can be assessed; content, typeface, placement, and rights require confirmation.",required_quote,4,true,true,MVP演示数据,demo_assumption
custopt_demo_008_logo,prod_demo_008,logo,可评估在包装、铭牌或附件中加入Logo，图形权利和制作方式需确认。,"A logo may be assessed for packaging, plaques, or accessories; artwork rights and production method require confirmation.",required_quote,5,true,true,MVP演示数据,demo_assumption
