source_id,product_id,source_url,source_title,source_type,publisher,accessed_at,trust_level,facts_supported,fact_status
SRC-EXISTING-prod_demo_001,prod_demo_001,https://www.metmuseum.org/art/collection/search/39646,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_002,prod_demo_002,https://www.metmuseum.org/art/collection/search/57780,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_003,prod_demo_003,https://www.metmuseum.org/art/collection/search/60910,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_004,prod_demo_004,https://www.metmuseum.org/art/collection/search/40266,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_005,prod_demo_005,https://www.metmuseum.org/art/collection/search/40215,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_006,prod_demo_006,https://www.metmuseum.org/art/collection/search/50716,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_007,prod_demo_007,https://www.metmuseum.org/art/collection/search/52074,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_008,prod_demo_008,https://www.metmuseum.org/art/collection/search/48373,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_009,prod_demo_009,https://www.metmuseum.org/art/collection/search/73676,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_010,prod_demo_010,https://www.metmuseum.org/art/collection/search/42514,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_011,prod_demo_011,https://www.metmuseum.org/art/collection/search/69860,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_012,prod_demo_012,https://www.metmuseum.org/art/collection/search/461250,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_013,prod_demo_013,https://www.metmuseum.org/art/collection/search/68527,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_014,prod_demo_014,https://www.metmuseum.org/art/collection/search/460786,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_015,prod_demo_015,https://www.metmuseum.org/art/collection/search/39596,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_016,prod_demo_016,https://www.metmuseum.org/art/collection/search/39637,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_017,prod_demo_017,https://www.metmuseum.org/art/collection/search/42102,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_018,prod_demo_018,https://www.metmuseum.org/art/collection/search/42154,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_019,prod_demo_019,https://www.metmuseum.org/art/collection/search/42153,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-EXISTING-prod_demo_020,prod_demo_020,https://www.metmuseum.org/art/collection/search/41918,The Met collection object,museum_open_collection,The Metropolitan Museum of Art,2026-07-17,high,museum object and open-access image; not commercial fields,verified_public_cultural_fact
SRC-MET-41482,prod_ref_001,https://www.metmuseum.org/art/collection/search/41482,Folding Fan with Fishing Net Decoration,museum_open_collection,The Metropolitan Museum of Art,2026-07-30,high,title; date; medium; dimensions; accession; public-domain image,verified_public_cultural_fact
SRC-CULT-001,prod_ref_001,https://ich.unesco.org/en/RL/chinese-calligraphy-00216,Official cultural context for Chinese folding fan references,official_cultural_source,UNESCO or The Metropolitan Museum of Art,2026-07-30,high,cultural context only; not merchant or commercial facts,verified_public_cultural_fact
SRC-MET-51770,prod_ref_002,https://www.metmuseum.org/art/collection/search/51770,Fan,museum_open_collection,The Metropolitan Museum of Art,2026-07-30,high,title; date; medium; dimensions; accession; public-domain image,verified_public_cultural_fact
SRC-CULT-002,prod_ref_002,https://ich.unesco.org/en/RL/chinese-calligraphy-00216,Official cultural context for Chinese folding fan references,official_cultural_source,UNESCO or The Metropolitan Museum of Art,2026-07-30,high,cultural context only; not merchant or commercial facts,verified_public_cultural_fact
SRC-MET-51536,prod_ref_003,https://www.metmuseum.org/art/collection/search/51536,Fan,museum_open_collection,The Metropolitan Museum of Art,2026-07-30,high,title; date; medium; dimensions; accession; public-domain image,verified_public_cultural_fact
SRC-CULT-003,prod_ref_003,https://ich.unesco.org/en/RL/chinese-calligraphy-00216,Official cultural context for Chinese folding fan references,official_cultural_source,UNESCO or The Metropolitan Museum of Art,2026-07-30,high,cultural context only; not merchant or commercial facts,verified_public_cultural_fact
SRC-MET-35990,prod_ref_004,https://www.metmuseum.org/art/collection/search/35990,Azure Cliff with Red Maples,museum_open_collection,The Metropolitan Museum of Art,2026-07-30,high,title; date; medium; dimensions; accession; public-domain image,verified_public_cultural_fact
SRC-CULT-004,prod_ref_004,https://ich.unesco.org/en/RL/chinese-calligraphy-00216,Official cultural context for Chinese folding fan references,official_cultural_source,UNESCO or The Metropolitan Museum of Art,2026-07-30,high,cultural context only; not merchant or commercial facts,verified_public_cultural_fact
SRC-MET-36000,prod_ref_005,https://www.metmuseum.org/art/collection/search/36000,River landscape,museum_open_collection,The Metropolitan Museum of Art,2026-07-30,high,title; date; medium; dimensions; accession; public-domain image,verified_public_cultural_fact
SRC-CULT-005,prod_ref_005,https://ich.unesco.org/en/RL/chinese-calligraphy-00216,Official cultural context for Chinese folding fan references,official_cultural_source,UNESCO or The Metropolitan Museum of Art,2026-07-30,high,cultural context only; not merchant or commercial facts,verified_public_cultural_fact
SRC-MET-40995,prod_ref_006,https://www.metmuseum.org/art/collection/search/40995,Seal,museum_open_collection,The Metropolitan Museum of Art,2026-07-30,high,title; date; medium; dimensions; accession; public-domain image,verified_public_cultural_fact
SRC-CULT-006,prod_ref_006,https://ich.unesco.org/en/RL/art-of-chinese-seal-engraving-00217,Official cultural context for Chinese seal art references,official_cultural_source,UNESCO or The Metropolitan Museum of Art,2026-07-30,high,cultural context only; not merchant or commercial facts,verified_public_cultural_fact
SRC-MET-41006,prod_ref_007,https://www.metmuseum.org/art/collection/search/41006,Seal,museum_open_collection,The Metropolitan Museum of Art,2026-07-30,high,title; date; medium; dimensions; accession; public-domain image,verified_public_cultural_fact
SRC-CULT-007,prod_ref_007,https://ich.unesco.org/en/RL/art-of-chinese-seal-engraving-00217,Official cultural context for Chinese seal art references,official_cultural_source,UNESCO or The Metropolitan Museum of Art,2026-07-30,high,cultural context only; not merchant or commercial facts,verified_public_cultural_fact
SRC-MET-41055,prod_ref_008,https://www.metmuseum.org/art/collection/search/41055,Seal,museum_open_collection,The Metropolitan Museum of Art,2026-07-30,high,title; date; medium; dimensions; accession; public-domain image,verified_public_cultural_fact
SRC-CULT-008,prod_ref_008,https://ich.unesco.org/en/RL/art-of-chinese-seal-engraving-00217,Official cultural context for Chinese seal art references,official_cultural_source,UNESCO or The Metropolitan Museum of Art,2026-07-30,high,cultural context only; not merchant or commercial facts,verified_public_cultural_fact
SRC-MET-41002,prod_ref_009,https://www.metmuseum.org/art/collection/search/41002,Seal,museum_open_collection,The Metropolitan Museum of Art,2026-07-30,high,title; date; medium; dimensions; accession; public-domain image,verified_public_cultural_fact
SRC-CULT-009,prod_ref_009,https://ich.unesco.org/en/RL/art-of-chinese-seal-engraving-00217,Official cultural context for Chinese seal art references,official_cultural_source,UNESCO or The Metropolitan Museum of Art,2026-07-30,high,cultural context only; not merchant or commercial facts,verified_public_cultural_fact
SRC-MET-61857,prod_ref_010,https://www.metmuseum.org/art/collection/search/61857,Seal,museum_open_collection,The Metropolitan Museum of Art,2026-07-30,high,title; date; medium; dimensions; accession; public-domain image,verified_public_cultural_fact
SRC-CULT-010,prod_ref_010,https://ich.unesco.org/en/RL/art-of-chinese-seal-engraving-00217,Official cultural context for Chinese seal art references,official_cultural_source,UNESCO or The Metropolitan Museum of Art,2026-07-30,high,cultural context only; not merchant or commercial facts,verified_public_cultural_fact
SRC-MET-76453,prod_ref_011,https://www.metmuseum.org/art/collection/search/76453,Brush holder decorated with immortals in landscape,museum_open_collection,The Metropolitan Museum of Art,2026-07-30,high,title; date; medium; dimensions; accession; public-domain image,verified_public_cultural_fact
SRC-CULT-011,prod_ref_011,https://www.metmuseum.org/art/collection/search/76453,Official cultural context for Bamboo scholar-object references,official_cultural_source,UNESCO or The Metropolitan Museum of Art,2026-07-30,high,cultural context only; not merchant or commercial facts,verified_public_cultural_fact
SRC-MET-42158,prod_ref_012,https://www.metmuseum.org/art/collection/search/42158,Brush holder with scene of “Ode to the Pavilion of the Inebriated Old Man”,museum_open_collection,The Metropolitan Museum of Art,2026-07-30,high,title; date; medium; dimensions; accession; public-domain image,verified_public_cultural_fact
SRC-CULT-012,prod_ref_012,https://www.metmuseum.org/art/collection/search/42158,Official cultural context for Bamboo scholar-object references,official_cultural_source,UNESCO or The Metropolitan Museum of Art,2026-07-30,high,cultural context only; not merchant or commercial facts,verified_public_cultural_fact
